card_name	set_name	rarity
Amabie	-Amabie-San- Present Campaign_ocg	Not Found
RD/21CC-JP001	-Amabie-San- Present Campaign_ocg	Amabie (Rush Duel)
Blue-Eyes White Dragon	-Blue-Eyes White Dragon- 20th Anniversary Gold Edition_ocg	Common
Dark Magician Girl	-Dark Magician Girl- Special Card_ocg	Ultra Rare
Dark Magician	-Dark Magician Ultra Rare Special Illustration Version- GET Campaign_ocg	Not Found
Dark Magician	-Dark Magician- Giveaway for 1000 People!_ocg	Ultra Rare
Dark Magician	-Dark Magician- Special Card_ocg	Ultra Rare
Aussa the Earth Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Aussa the Earth Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
Dharc the Dark Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Dharc the Dark Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
Eria the Water Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Eria the Water Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
Hiita the Fire Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Hiita the Fire Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
Lyna the Light Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Lyna the Light Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
RD/DK01-JP001	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	Seiyaryu (Rush Duel)
RD/DK01-JP002	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	CAN:D
RD/DK01-JP003	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	Progrigger Vancing
RD/DK01-JP004	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	Gunde of the Monumenthes
RD/DK01-JP005	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	Secret Order
RD/DK01-JP006	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	Ship of Seven Treasures
Wynn the Wind Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	SR
Wynn the Wind Charmer	-Duelist Kingdom- Collect Star Chips!- Limited Pack_ocg	ScR
Fire Phoenix @Ignister	@Ignister Duel Set_ocg	Not Found
Ally of Justice Clausolas	2-Player Starter Set_tcg	Common
Apprentice Piper	2-Player Starter Set_tcg	Common
Attraffic Control	2-Player Starter Set_tcg	Common
Back to the Front	2-Player Starter Set_tcg	Common
Back-Up Rider	2-Player Starter Set_tcg	Common
Barrier Resonator	2-Player Starter Set_tcg	Common
Beast King Barbaros	2-Player Starter Set_tcg	Common
Book of Moon	2-Player Starter Set_tcg	Common
Burden of the Mighty	2-Player Starter Set_tcg	Common
Call of the Haunted	2-Player Starter Set_tcg	Common
Card Trooper	2-Player Starter Set_tcg	Common
Cardcar D	2-Player Starter Set_tcg	Common
Castel, the Skyblaster Musketeer	2-Player Starter Set_tcg	Ultra Rare
Chiron the Mage	2-Player Starter Set_tcg	Common
Coral Dragon	2-Player Starter Set_tcg	Ultra Rare
Cost Down	2-Player Starter Set_tcg	Common
Crane Crane	2-Player Starter Set_tcg	Common
Cyber Dragon	2-Player Starter Set_tcg	Common
D.D. Crow	2-Player Starter Set_tcg	Common
Daigusto Emeral	2-Player Starter Set_tcg	Ultra Rare
Dark Factory of Mass Production	2-Player Starter Set_tcg	Common
Dark Hole	2-Player Starter Set_tcg	Common
Dark Magician	2-Player Starter Set_tcg	Common
Dark Magician Girl	2-Player Starter Set_tcg	Common
Dark Resonator	2-Player Starter Set_tcg	Common
Divine Arsenal AA-ZEUS - Sky Thunder	2-Player Starter Set_tcg	Ultra Rare
Draining Shield	2-Player Starter Set_tcg	Common
Eldlich the Golden Lord	2-Player Starter Set_tcg	Common
Elemental HERO Sparkman	2-Player Starter Set_tcg	Common
Fierce Tiger Monghu	2-Player Starter Set_tcg	Common
Fighting Spirit	2-Player Starter Set_tcg	Common
Fissure	2-Player Starter Set_tcg	Common
Gagaga Magician	2-Player Starter Set_tcg	Common
Galaxy Cyclone	2-Player Starter Set_tcg	Common
Giant Soldier of Stone	2-Player Starter Set_tcg	Common
Gil Garth	2-Player Starter Set_tcg	Common
Gravity Axe - Grarl	2-Player Starter Set_tcg	Common
Gyroid	2-Player Starter Set_tcg	Common
Inpachi	2-Player Starter Set_tcg	Common
Kunai with Chain	2-Player Starter Set_tcg	Common
La Jinn the Mystical Genie of the Lamp	2-Player Starter Set_tcg	Common
Launcher Spider	2-Player Starter Set_tcg	Common
Liberty at Last!	2-Player Starter Set_tcg	Common
Mage Power	2-Player Starter Set_tcg	Common
Magic Cylinder	2-Player Starter Set_tcg	Common
Magical Broker	2-Player Starter Set_tcg	Common
Magician of Faith	2-Player Starter Set_tcg	Common
Mannadium Fearless	2-Player Starter Set_tcg	Common
Mannadium Prime-Heart	2-Player Starter Set_tcg	Ultra Rare
Mask of Darkness	2-Player Starter Set_tcg	Common
Mask of the Accursed	2-Player Starter Set_tcg	Common
Mobius the Frost Monarch	2-Player Starter Set_tcg	Common
Mystical Space Typhoon	2-Player Starter Set_tcg	Common
Needle Ceiling	2-Player Starter Set_tcg	Common
Night Beam	2-Player Starter Set_tcg	Common
No Entry!!	2-Player Starter Set_tcg	Common
Number 20: Giga-Brilliant	2-Player Starter Set_tcg	Ultra Rare
Obsessive Uvualoop	2-Player Starter Set_tcg	Common
Ojama Green	2-Player Starter Set_tcg	Common
Ojama Yellow	2-Player Starter Set_tcg	Common
One-Time Passcode	2-Player Starter Set_tcg	Common
Penguin Soldier	2-Player Starter Set_tcg	Common
Phantom King Hydride	2-Player Starter Set_tcg	Common
Power Frame	2-Player Starter Set_tcg	Common
Queen's Knight	2-Player Starter Set_tcg	Common
Quillbolt Hedgehog	2-Player Starter Set_tcg	Common
Rabidragon	2-Player Starter Set_tcg	Common
Rampaging Smashtank Rhynosaber	2-Player Starter Set_tcg	Ultra Rare
Ryu-Ran	2-Player Starter Set_tcg	Common
Scapegoat	2-Player Starter Set_tcg	Common
Skill Successor	2-Player Starter Set_tcg	Common
Spirit of the Harp	2-Player Starter Set_tcg	Common
Star Changer	2-Player Starter Set_tcg	Common
Star Drawing	2-Player Starter Set_tcg	Common
Storming Mirror Force	2-Player Starter Set_tcg	Common
Stygian Sergeants	2-Player Starter Set_tcg	Ultra Rare
Supply Squad	2-Player Starter Set_tcg	Common
Swing of Memories	2-Player Starter Set_tcg	Common
Swords of Revealing Light	2-Player Starter Set_tcg	Common
Swordstalker	2-Player Starter Set_tcg	Common
The Warrior Returning Alive	2-Player Starter Set_tcg	Common
Thousand Knives	2-Player Starter Set_tcg	Common
Trade-In	2-Player Starter Set_tcg	Common
Visas Starfrost	2-Player Starter Set_tcg	Common
White Elephant's Gift	2-Player Starter Set_tcg	Common
White Ninja	2-Player Starter Set_tcg	Common
Xyz Reborn	2-Player Starter Set_tcg	Common
Ally of Justice Catastor	2013 Collectible Tins Wave 1_tcg	Super Rare
Black Luster Soldier - Envoy of the Beginning	2013 Collectible Tins Wave 1_tcg	Super Rare
Blaster, Dragon Ruler of Infernos	2013 Collectible Tins Wave 1_tcg	Secret Rare
Brotherhood of the Fire Fist - Bear	2013 Collectible Tins Wave 1_tcg	Super Rare
Gagaga Cowboy	2013 Collectible Tins Wave 1_tcg	Super Rare
Karakuri Shogun mdl 00 "Burei"	2013 Collectible Tins Wave 1_tcg	Super Rare
Number 40: Gimmick Puppet of Strings	2013 Collectible Tins Wave 1_tcg	Super Rare
Superdreadnought Rail Cannon Gustav Max	2013 Collectible Tins Wave 1_tcg	Super Rare
Tidal, Dragon Ruler of Waterfalls	2013 Collectible Tins Wave 1_tcg	Secret Rare
Diamond Dire Wolf	2013 Collectible Tins Wave 2_tcg	Super Rare
Gear Gigant X	2013 Collectible Tins Wave 2_tcg	Super Rare
Number 50: Blackship of Corn	2013 Collectible Tins Wave 2_tcg	Super Rare
Number 88: Gimmick Puppet of Leo	2013 Collectible Tins Wave 2_tcg	Super Rare
Rank-Up-Magic Barian's Force	2013 Collectible Tins Wave 2_tcg	Super Rare
Redox, Dragon Ruler of Boulders	2013 Collectible Tins Wave 2_tcg	Secret Rare
Spellbook of the Master	2013 Collectible Tins Wave 2_tcg	Super Rare
Tempest, Dragon Ruler of Storms	2013 Collectible Tins Wave 2_tcg	Secret Rare
Thunder Sea Horse	2013 Collectible Tins Wave 2_tcg	Super Rare
Abyss-scale of the Mizuchi	2014 Mega-Tin Mega Pack_tcg	Common
Aerial Recharge	2014 Mega-Tin Mega Pack_tcg	Common
Alpacaribou, Mystical Beast of the Forest	2014 Mega-Tin Mega Pack_tcg	Common
Alsei, the Sylvan High Protector	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Angel of Zera	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Archfiend Cavalry	2014 Mega-Tin Mega Pack_tcg	Rare
Archfiend Emperor, the First Lord of Horror	2014 Mega-Tin Mega Pack_tcg	Rare
Archfiend Giant	2014 Mega-Tin Mega Pack_tcg	Rare
Archfiend Heiress	2014 Mega-Tin Mega Pack_tcg	Rare
Archfiend Palabyrinth	2014 Mega-Tin Mega Pack_tcg	Rare
Armades, Keeper of Boundaries	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Armageddon Designator	2014 Mega-Tin Mega Pack_tcg	Common
Baby Raccoon Ponpoko	2014 Mega-Tin Mega Pack_tcg	Common
Baby Raccoon Tantan	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Cheat Commissioner	2014 Mega-Tin Mega Pack_tcg	Rare
Battlin' Boxer Counterpunch	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Glassjaw	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Headgeared	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Lead Yoke	2014 Mega-Tin Mega Pack_tcg	Rare
Battlin' Boxer Rabbit Puncher	2014 Mega-Tin Mega Pack_tcg	Common
